entity_id,company_name,sector,investment_date,funds,fund_ownership_entry_pct,fund_current_ownership_pct,tsg_controlled_entry_pct,tsg_controlled_current_pct,fx_to_usd_entry,fx_to_usd_current,entry_val_date,entry_revenue,entry_adj_ebitda,entry_gross_profit,entry_net_debt,entry_tev,entry_net_leverage,entry_tev_to_revenue,entry_tev_to_ebitda,entry_net_debt_to_ebitda,current_val_date,current_revenue,current_adj_ebitda,current_gross_profit,current_net_debt,current_tev,current_net_leverage,current_tev_to_revenue,current_tev_to_ebitda,revenue_change_pct,ebitda_change_pct,leverage_change,floating_rate_debt,fixed_rate_debt,pik_debt,other_debt,total_gross_debt,senior_secured_debt,floating_rate_pct,fixed_rate_pct,pik_pct
345f346f-f3d1-44e6-a6af-74644c7057a4,Trinity Solar,Household,2023-07-31,TSG9,,,,,,,2022-03-31,81.376784,1.332384,42.905391,,,,,,,2025-08-31,115.62754,-8.864848,57.964209,,,,,,0.4208910000670461,-7.653373201719624,,,,,,,,,,
5c9d7c7a-e3b7-4866-816d-a1f66cf543d3,Thrive Pet Healthcare,Pet,2020-03-31,TSG8,,,,,,,2022-09-30,326.355051,,112.502803,,,,,,,2025-07-31,324.238088,,115.140114,-153.448503,,,,,-0.0064866867956028616,,,,,,,,,,,
9e2cb471-1737-41de-b21f-89f87e9782ee,ATI,Household,2020-07-31,POC,,,,,,,,,,,,,,,,,2025-12-31,,,35.624344,,,,,,,,,,,,,,,,,
e392661f-9eb4-4282-a57b-502851cb49fe,Training Co,,,,,,,,,,,,,,,,,,,,2025-06-30,,,,,,,,,,,,,,,,,,,,
05e70849-4954-4b3a-b6cd-8d3f35901a45,Rough Country,Automotive,2021-07-28,TSG8,,,,,,,2014-03-31,23.44291,6.866936,9.212863,86.716002,,15.672593,,,12.628048666828992,2025-10-31,140.654798,29.696602,50.26603,640.255907,,23.807589,,,4.999886447544268,3.324578239843796,8.134996,645.333434,,,,645.333434,640.333434,1.0,,
c92e703b-16a9-430c-a614-bf50189842a5,Mavis,Automotive,2021-05-04,TSG8,,,,,,,2021-06-30,534.2,,,,,,,,,2025-07-31,1094.174913,177.239121,449.052365,-126.176758,,,,,1.0482495563459377,,,4375.342131,,,,,4375.342131,,,
d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut,Consumer Tech,2020-07-07,,,,,,,,,,,,,,,,,,2025-12-31,,,1335.195733,,,,,,,,,,,,,,,,,
fc7032aa-7688-4937-bbe7-c874e2f64461,BrewDog,Food & Beverage,2017-04-06,TSG7A,,,,,,,2023-06-30,96.542274,3.176417,42.230582,,,,,,,2025-08-31,87.819131,-0.374328,36.4445,-0.115563,,-0.089734,,,-0.09035568190573186,-1.117845988105466,,-0.115563,,,,-0.115563,,1.0,,
060e6c48-0ee6-4ba3-bce2-68aa5e63c3d4,Radiance Holdings,Beauty & Personal Care,2022-12-16,TSG9,,,,,,,2024-03-31,18.017075,5.663615,16.672774,174.716555,424.28734,31.428688,23.54917987520172,74.91458017538268,30.848946300198723,2025-12-31,,,,,,,,,,,,,,,,,,,,
124cc0b7-030c-4f8c-93f7-8cd967be199e,Endeavor,Education,2023-02-02,TSG9,,,,,,,2021-09-30,33.480434,,18.268458,,,,,,,2025-06-30,66.331367,,36.140016,279.657021,687.709565,32.337896,10.367788213983287,,0.9811979438498317,,,283.252738,0.0,0.0,0.218053,283.470791,283.252738,0.9992307743622164,0.0,0.0
12674f4b-ef12-41c8-a456-d4e08aea0ab2,Cadogan Tate,Household,2022-05-24,TSG8,,,,,,,2020-12-31,21.578288,3.5478,6.994461,-44.162475,,-8.997004,,,-12.447847962117368,2025-09-30,44.243919,7.863885,15.874081,,,,,,1.0503906055939192,1.216552511415525,,,,,,,,,,
1feaa7aa-5a53-4d08-90a2-f8ad61674c36,PowerStop,Automotive,2018-10-19,TSG7A,,,,,,,2017-03-31,28.96601,5.516979,10.478943,,,,,,,2025-11-30,81.05357,21.162006,34.964962,357.339312,,18.473612,,,1.7982304086755474,2.8357960035736953,,370.901833,,,0.512617,371.41445,370.901833,0.9986198248344943,,
472f81ee-7bb9-4ef4-a48d-9f1c0ada810e,Wrench Group,Household,2022-11-09,TSG9,,,,,,,2023-03-31,296.665409,22.555356,145.08527,,,,,,,2025-10-31,344.492712,39.761751,176.645646,1160.02527,,36.281138,,,0.1612163115383633,0.7628518476941795,,1100.0,,,98.346009,1198.346009,1100.0,0.9179318758844383,,
144c55f1-2b3b-496f-ad43-4407d40fe463,Hempz,Beauty & Personal Care,2019-07-11,TSG7B,,,,,,,2021-03-31,17.966094,,9.104006,,,,,,,2025-09-07,23.116225,7.3749,14.193191,-2.289367,,,,,0.28665835768197595,,,,,,,,,,,
1589beca-4545-44a3-b9ed-3d1d9334dcee,ATI,Household,2020-07-31,TSG8,,,,,,,2022-03-31,95.058847,5.712267,34.470856,-15.50173,,1.27246,,,-2.7137614540776895,2025-11-30,133.312943,6.486459,48.672326,318.62426,,59.573388,,,0.4024254154902593,0.1355314798835559,58.300928,322.376375,,,7.777246,330.153621,,0.9764435538327778,,
3940221e-1730-4b0a-b761-4a66bcf4612c,Core Power,Health & Wellness,2019-04-02,TSG8,,,,,,,2024-06-30,51.032122,8.884537,,235.643589,487.577239,24.406182,9.554320296537934,54.879307610514765,26.522889037436617,2025-10-31,,12.760826,,232.740238,,20.890911,,,,0.436296117625488,-3.515271000000002,244.187238,,,,244.187238,244.187238,1.0,,
41f73172-e481-4d26-b8f0-4026b67c866c,Summer Fridays,Beauty & Personal Care,2024-07-24,TSG9,,,,,,,2021-03-31,3.365907,-0.390669,2.561873,,,,,,,2025-09-30,64.715546,22.34752,45.349729,210.066259,,11.944688,,,18.22677780461552,-58.20320783066995,,249.375,,,,249.375,,1.0,,
5c86fd1b-e1f0-4ab4-b7e9-12fbba1ee04f,Revolut,Consumer Tech,2020-07-07,TSG7B,,,,,,,2021-03-31,195.711347,65.016708,145.15299,,,,,,,2025-06-30,1375.625041,605.057957,1094.802178,0.0,45288.535126,0.0,32.922150859566976,74.84991247871483,6.028846625842293,8.30619183302852,,0.0,0.0,0.0,0.0,0.0,0.0,,,
5d342085-e8c0-468a-9de0-cdf39c49ea89,Legacy,"Online Media, Consumer Tech",2024-04-30,TSG8,,,,,,,2023-03-31,22.439,,,,,,,,,2025-06-30,24.28659,7.347392,17.572815,88.843634,498.429407,15.977587,20.522823788765734,67.83759557132653,0.08233833949819512,,,99.0,0.0,0.0,0.0,99.0,99.0,1.0,0.0,0.0
